id	cardId	msg	eventType	options	created_at	updated_at
846	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [40, 5, 0, 6, 4, 2, 1, 11, 17], "maxtemp": -99}	2019-11-08 11:56:07	2019-11-08 11:56:07
845	001606224	["ACK"]	1	{"tic": "A3F5", "transfo": {"num": 5, "uid": "001606224", "firm": "T108", "type": "1"}}	2019-11-08 11:31:15	2019-11-08 11:31:15
844	001606224	["TRANSFORMATEUR", "5", "DECLENCHEMENT", "* DEFAUT GAZ"]	2	{"tic": "5CA4", "transfo": {"num": 5, "uid": "001606224", "firm": "T108", "type": "1"}}	2019-11-08 11:31:06	2019-11-08 11:31:06
843	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [163, 19, 0, 0, 0, 0, 0, 0, 164]}	2019-11-08 04:41:31	2019-11-08 04:41:31
842	005606224	["ACK"]	1	{"tic": "6C77", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-11-07 18:35:08	2019-11-07 18:35:08
841	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2 * DEFAUT TEMPERATURE 1"]	2	{"tic": "3D97", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-11-07 18:34:59	2019-11-07 18:34:59
840	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [37, 5, 0, 5, 4, 2, 1, 10, 16], "maxtemp": -99}	2019-11-07 12:00:35	2019-11-07 12:00:35
839	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [162, 19, 0, 0, 0, 0, 0, 0, 163]}	2019-11-07 04:46:18	2019-11-07 04:46:18
838	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [36, 5, 0, 5, 4, 2, 1, 10, 15], "maxtemp": -99}	2019-11-06 12:05:01	2019-11-06 12:05:01
837	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [161, 19, 0, 0, 0, 0, 0, 0, 162]}	2019-11-06 04:51:04	2019-11-06 04:51:04
836	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [35, 5, 0, 5, 4, 2, 1, 10, 14], "maxtemp": -99}	2019-11-05 12:09:29	2019-11-05 12:09:29
835	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [160, 19, 0, 0, 0, 0, 0, 0, 161]}	2019-11-05 04:55:52	2019-11-05 04:55:52
834	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [34, 5, 0, 5, 4, 2, 1, 10, 13], "maxtemp": -99}	2019-11-04 12:13:59	2019-11-04 12:13:59
833	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [159, 19, 0, 0, 0, 0, 0, 0, 160]}	2019-11-04 05:00:40	2019-11-04 05:00:40
832	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [33, 5, 0, 5, 4, 2, 1, 10, 12], "maxtemp": -99}	2019-11-03 12:18:26	2019-11-03 12:18:26
831	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [158, 19, 0, 0, 0, 0, 0, 0, 159]}	2019-11-03 05:05:29	2019-11-03 05:05:29
830	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [32, 5, 0, 5, 4, 2, 1, 10, 11], "maxtemp": -99}	2019-11-02 12:22:57	2019-11-02 12:22:57
829	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [157, 19, 0, 0, 0, 0, 0, 0, 158]}	2019-11-02 05:10:15	2019-11-02 05:10:15
828	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [31, 5, 0, 5, 4, 2, 1, 10, 10], "maxtemp": -99}	2019-11-01 12:27:19	2019-11-01 12:27:19
827	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [156, 19, 0, 0, 0, 0, 0, 0, 157]}	2019-11-01 05:15:00	2019-11-01 05:15:00
826	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [30, 5, 0, 5, 4, 2, 1, 10, 9], "maxtemp": -99}	2019-10-31 12:31:42	2019-10-31 12:31:42
825	002C06224	["ACK"]	1	{"tic": "F26D", "transfo": {"num": 1, "uid": "002C06224", "firm": "T108", "type": "1"}}	2019-10-31 11:59:41	2019-10-31 11:59:41
824	002C06224	["TRANSFORMATEUR", "01", "DECLENCHEMENT", "* DEFAUT GAZ"]	2	{"tic": "5AF5", "transfo": {"num": 1, "uid": "002C06224", "firm": "T108", "type": "1"}}	2019-10-31 11:56:05	2019-10-31 11:56:05
823	005606224	["ACK"]	1	{"tic": "3C57", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-31 09:33:49	2019-10-31 09:33:49
822	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "3A87", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-31 09:33:40	2019-10-31 09:33:40
821	005606224	["TRANSFORMATEUR", "12", "ALARME", "* DEFAUT TEMPERATURE 1 * DEFAUT TEMPERATURE 1"]	2	{"tic": "D10F", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-31 09:31:38	2019-10-31 09:31:38
820	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [155, 19, 0, 0, 0, 0, 0, 0, 156]}	2019-10-31 05:19:46	2019-10-31 05:19:46
819	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [26, 5, 0, 4, 3, 2, 1, 9, 8], "maxtemp": -99}	2019-10-30 12:36:09	2019-10-30 12:36:09
818	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [154, 19, 0, 0, 0, 0, 0, 0, 155]}	2019-10-30 05:24:35	2019-10-30 05:24:35
817	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [25, 5, 0, 4, 3, 2, 1, 9, 7], "maxtemp": -99}	2019-10-29 12:40:36	2019-10-29 12:40:36
816	003206224	["ACK"]	1	{"tic": "DC28", "transfo": {"num": 5, "uid": "003206224", "firm": "T108", "type": "1"}}	2019-10-29 10:37:50	2019-10-29 10:37:50
815	003206224	["TRANSFORMATEUR", "05", "DECLENCHEMENT", "* DEFAUT GAZ"]	2	{"tic": "6635", "transfo": {"num": 5, "uid": "003206224", "firm": "T108", "type": "1"}}	2019-10-29 10:37:40	2019-10-29 10:37:40
814	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [153, 19, 0, 0, 0, 0, 0, 0, 154]}	2019-10-29 05:29:25	2019-10-29 05:29:25
813	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [24, 2, 0, 4, 3, 2, 1, 9, 6], "maxtemp": -99}	2019-10-28 12:45:02	2019-10-28 12:45:02
812	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [152, 19, 0, 0, 0, 0, 0, 0, 153]}	2019-10-28 05:34:13	2019-10-28 05:34:13
811	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [23, 2, 0, 4, 3, 2, 1, 9, 5], "maxtemp": -99}	2019-10-27 12:50:13	2019-10-27 12:50:13
810	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [151, 19, 0, 0, 0, 0, 0, 0, 152]}	2019-10-27 05:38:59	2019-10-27 05:38:59
809	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [22, 2, 0, 4, 3, 2, 1, 9, 4], "maxtemp": -99}	2019-10-26 13:53:54	2019-10-26 13:53:54
808	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [150, 19, 0, 0, 0, 0, 0, 0, 151]}	2019-10-26 06:44:11	2019-10-26 06:44:11
807	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [21, 2, 0, 4, 3, 2, 1, 9, 3], "maxtemp": -99}	2019-10-25 13:58:18	2019-10-25 13:58:18
806	005606224	["ACK"]	1	{"tic": "E6F7", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 11:35:09	2019-10-25 11:35:09
805	005606224	["TRANSFORMATEUR", "12", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "A877", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 11:34:58	2019-10-25 11:34:58
804	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "3B17", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 11:32:18	2019-10-25 11:32:18
803	005606224	["ACK"]	1	{"tic": "A6A7", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 11:30:12	2019-10-25 11:30:12
802	005606224	["TRANSFORMATEUR", "12", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "338F", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 11:30:02	2019-10-25 11:30:02
801	005606224	["ACK"]	1	{"tic": "93B7", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 10:57:13	2019-10-25 10:57:13
800	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT GAZ"]	2	{"tic": "7477", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-25 10:57:03	2019-10-25 10:57:03
799	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [149, 19, 0, 0, 0, 0, 0, 0, 150]}	2019-10-25 06:48:49	2019-10-25 06:48:49
798	005606224	["ACK"]	1	{"tic": "B537", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 16:30:26	2019-10-24 16:30:26
797	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT GAZ"]	2	{"tic": "826F", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 16:30:17	2019-10-24 16:30:17
796	005606224	["ACK"]	1	{"tic": "D45F", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 15:45:52	2019-10-24 15:45:52
795	005606224	["ACK"]	1	{"tic": "A3AF", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 15:43:27	2019-10-24 15:43:27
794	005606224	["ACK"]	1	{"tic": "40D7", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 14:37:44	2019-10-24 14:37:44
793	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "BC07", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 14:37:35	2019-10-24 14:37:35
792	005606224	["ACK"]	1	{"tic": "17F7", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 14:35:35	2019-10-24 14:35:35
791	005606224	["TRANSFORMATEUR", "12", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "0A6F", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-24 14:35:26	2019-10-24 14:35:26
790	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [3, 0, 0, 0, 1, 0, 0, 1, 2], "maxtemp": -99}	2019-10-24 14:02:54	2019-10-24 14:02:54
789	006006224	["ACK"]	1	{"tic": "1994", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:40:57	2019-10-23 15:40:57
788	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "E7E2", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:40:48	2019-10-23 15:40:48
787	006006224	["ACK"]	1	{"tic": "B6A0", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:37:30	2019-10-23 15:37:30
786	006006224	["TRANSFORMATEUR", "2", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "4F72", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:37:21	2019-10-23 15:37:21
785	006006224	["ACK"]	1	{"tic": "06D6", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:32:31	2019-10-23 15:32:31
784	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2 * DEFAUT TEMPERATURE 2 * DEFAUT TEMPERATURE 1"]	2	{"tic": "CAB6", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:32:23	2019-10-23 15:32:23
783	006006224	["ACK"]	1	{"tic": "6BB8", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:18:47	2019-10-23 15:18:47
782	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2 * DEFAUT TEMPERATURE 2"]	2	{"tic": "5B8E", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:18:39	2019-10-23 15:18:39
781	006006224	["ACK"]	1	{"tic": "21A3", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:15:42	2019-10-23 15:15:42
780	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "0AB3", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:15:34	2019-10-23 15:15:34
779	006006224	["ACK"]	1	{"tic": "B37B", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:12:37	2019-10-23 15:12:37
778	006006224	["TRANSFORMATEUR", "2", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "93FF", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 15:12:29	2019-10-23 15:12:29
777	006006224	["ACK"]	1	{"tic": "866E", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 14:52:48	2019-10-23 14:52:48
776	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 1 * DEFAUT TEMPERATURE 2 * DEFAUT PRESSION * DEFAUT TEMPERATURE 2"]	2	{"tic": "598A", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 14:52:39	2019-10-23 14:52:39
775	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T108", "stat1": [2, 0, 0, 0, 1, 0, 0, 1, 1], "maxtemp": 0}	2019-10-23 14:07:12	2019-10-23 14:07:12
774	006006224	["ACK"]	1	{"tic": "7E57", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:53:00	2019-10-23 11:53:00
773	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 1 * DEFAUT TEMPERATURE 2 * DEFAUT PRESSION"]	2	{"tic": "664A", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:52:51	2019-10-23 11:52:51
772	006006224	["ACK"]	1	{"tic": "24DE", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:49:53	2019-10-23 11:49:53
771	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 1 * DEFAUT TEMPERATURE 2"]	2	{"tic": "A1C3", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:49:44	2019-10-23 11:49:44
770	006006224	["ACK"]	1	{"tic": "8A77", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:46:47	2019-10-23 11:46:47
769	006006224	["TRANSFORMATEUR", "2", "ALARME", "* DEFAUT TEMPERATURE 1"]	2	{"tic": "7520", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:46:38	2019-10-23 11:46:38
768	006006224	["ACK"]	1	{"tic": "6E3C", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 11:43:41	2019-10-23 11:43:41
767	006006224	["ACK"]	1	{"tic": "C763", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 10:46:25	2019-10-23 10:46:25
766	006006224	["TRANSFORMATEUR", "2", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "2024", "transfo": {"num": 2, "uid": "006006224", "firm": "T108", "type": "1"}}	2019-10-23 10:46:16	2019-10-23 10:46:16
765	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [147, 7, 0, 0, 0, 0, 0, 0, 148]}	2019-10-23 06:58:14	2019-10-23 06:58:14
764	005606224	["ACK"]	1	{"tic": "0281", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-22 14:24:15	2019-10-22 14:24:15
763	005606224	["TRANSFORMATEUR", "12", "DECLENCHEMENT", "* DEFAUT TEMPERATURE 2"]	2	{"tic": "9CF4", "transfo": {"num": 12, "uid": "FFFF65535", "firm": "T108", "type": "1"}}	2019-10-22 14:24:07	2019-10-22 14:24:07
762	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T107", "stat1": [9, 3, 0, 0, 1, 0, 0, 2, 7]}	2019-10-22 08:59:58	2019-10-22 08:59:58
761	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [146, 7, 0, 0, 0, 0, 0, 0, 147]}	2019-10-22 07:02:27	2019-10-22 07:02:27
760	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T107", "stat1": [8, 3, 0, 0, 1, 0, 0, 2, 6]}	2019-10-21 09:04:24	2019-10-21 09:04:24
759	003106224	["DAY"]	3	{"conf": {"pin": "----", "mode": 99, "phone": ["0628541025", "*", "*", "*"], "groupe": "01", "jumper": 1, "slaveid": ["99", "*", "*", "*"]}, "firm": "T107", "stat1": [145, 7, 0, 0, 0, 0, 0, 0, 146]}	2019-10-21 07:07:13	2019-10-21 07:07:13
758	005606224	["DAY"]	3	{"conf": {"pin": "----", "mode": 3, "phone": ["0033680684603", "0033768980032", "0033620428440", "*"], "groupe": "01", "jumper": 3, "slaveid": ["12", "*", "*", "*"]}, "firm": "T107", "stat1": [7, 3, 0, 0, 1, 0, 0, 2, 5]}	2019-10-20 09:08:56	2019-10-20 09:08:56
